,Unnamed: 0,ParkID,Official,StreetNumber,Hectare
count,152.0,152.0,152.0,152.0,152.0
mean,105.78289473684211,121.67763157894737,0.9078947368421053,2728.934210526316,5.7796052631578965
std,63.29923864279142,72.23651385155766,0.2901304378473468,2067.191692207528,32.78216681017749
min,0.0,2.0,0.0,50.0,0.0
25%,53.25,60.25,1.0,1191.75,0.38
50%,102.5,118.5,1.0,2300.5,1.1400000000000001
75%,158.25,181.75,1.0,3600.0,3.2125000000000004
max,217.0,249.0,1.0,9149.0,400.0
