Official,Advisories,SpecialFeatures,Facilities,Washrooms,NeighbourhoodName,Hectare
1,N,N,Y,N,Killarney,7.84
1,N,N,N,N,Downtown,0.04
1,N,N,Y,N,Renfrew-Collingwood,1.5
1,N,N,N,N,Mount Pleasant,0.0
1,N,Y,Y,N,Oakridge,5.02
1,N,N,Y,N,Kerrisdale,48.57
1,N,N,Y,N,Victoria-Fraserview,2.09
1,N,N,Y,N,Riley Park,2.7
1,N,N,Y,N,Marpole,2.38
1,N,N,Y,N,Grandview-Woodland,0.3
1,N,N,Y,N,Grandview-Woodland,0.22
1,N,N,Y,N,Killarney,13.36
1,N,N,N,N,Hastings-Sunrise,8.0
1,N,N,Y,Y,Strathcona,10.07
1,N,N,Y,Y,Mount Pleasant,1.4
