;Park Name;Type;Location;Geo Local Area;Summer hours;Winter hours;Wheelchair access;Note;Geom;geo_point_2d
120;Strathcona;Community Center;601 Keefer St;Strathcona;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.09154620769539, 49.27977979183258], ""type"": ""Point""}";49.27977979183258, -123.09154620769539
121;Thunderbird;Community Center;2311 Cassiar St;Hastings-Sunrise;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.03210372093348, 49.26360783509205], ""type"": ""Point""}";49.26360783509205, -123.03210372093348
122;Trout Lake;Community Center;3360 Victoria Drive;Kensington-Cedar Cottage;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.0655282767287, 49.25529203110348], ""type"": ""Point""}";49.25529203110348, -123.0655282767287
123;West Point Grey;Community Center;4397 W 2nd Av;West Point Grey;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.2045334775624, 49.271797159811925], ""type"": ""Point""}";49.271797159811925, -123.2045334775624
124;Spanish Banks Beach Park;Park - Field House;West, fieldhouse;West Point Grey;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.22267905551811, 49.277471985052316], ""type"": ""Point""}";49.277471985052316, -123.22267905551811
125;Jericho Beach Park;Park - Public Washroom;Service Yard - public exterior attached to service building;West Point Grey;Dawn - 11:00 pm;Dawn - 11:00 pm;Yes;;"{""coordinates"": [-123.20282013106967, 49.27442916398891], ""type"": ""Point""}";49.27442916398891, -123.20282013106967
126;New Brighton Park;Park - Field House;North east corner, fieldhouse;Hastings-Sunrise;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.03602500739287, 49.289333968905524], ""type"": ""Point""}";49.289333968905524, -123.03602500739287
127;Stanley Park;Park - Public Washroom;Prospect Point;;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.14264883145943, 49.312411041976254], ""type"": ""Point""}";49.312411041976254, -123.14264883145943
128;Stanley Park;Park - Field House;Ceperley Picnic Shelter;;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.14868000781655, 49.29359490462253], ""type"": ""Point""}";49.29359490462253, -123.14868000781655
129;Stanley Park;Park - Public Washroom;Train, Picnic Shelter;;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.13292304169951, 49.30206900196944], ""type"": ""Point""}";49.30206900196944, -123.13292304169951
130;Stanley Park;Park - Public Washroom;Info Booth;;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.13143296597215, 49.297753013375036], ""type"": ""Point""}";49.297753013375036, -123.13143296597215
131;Stanley Park;Park - Public Washroom;Totems;;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.12127801954024, 49.29944002245292], ""type"": ""Point""}";49.29944002245292, -123.12127801954024
132;Robson Park;Park - Field House;South East Corner Fieldhouse;Mount Pleasant;;;;;"{""coordinates"": [-123.09133535945465, 49.25773293062128], ""type"": ""Point""}";49.25773293062128, -123.09133535945465
133;Oak Meadows Park;Park - Public Washroom;NW Corner;South Cambie;Dawn to Dusk;Dawn to Dusk;Yes;Has Team Storage;"{""coordinates"": [-123.1269603577517, 49.239023555598024], ""type"": ""Point""}";49.239023555598024, -123.1269603577517
134;Musqueam Park;Park - Public Washroom;4000 SW Marine Dr;Dunbar-Southlands;;;;;"{""coordinates"": [-123.18992303549685, 49.229432279280935], ""type"": ""Point""}";49.229432279280935, -123.18992303549685
135;Vancouver Technical Secondary;Park - Public Washroom;NE of synturf field;Renfrew-Collingwood;;;;;"{""coordinates"": [-123.05008933604122, 49.26055815523328], ""type"": ""Point""}";49.26055815523328, -123.05008933604122
136;Heather Marina;Other Facilities;Marina Building;Fairview;;;;;"{""coordinates"": [-123.11871635134744, 49.26886147584729], ""type"": ""Point""}";49.26886147584729, -123.11871635134744
137;Coopers' Park;Park - Portland Loo;East side of baskeball court;Downtown;24 hrs;24 hrs;Yes;;"{""coordinates"": [-123.11441858743608, 49.2730422860486], ""type"": ""Point""}";49.2730422860486, -123.11441858743608
138;Kerrisdale Park;Park - Public Washroom;Ice Rink;Shaughnessy;;;;;"{""coordinates"": [-123.15353285764634, 49.23543806889157], ""type"": ""Point""}";49.23543806889157, -123.15353285764634
139;;SmallAPT;Powell St and Main St;Downtown;24hrs - 24hrs;24hrs - 24hrs;No;;"{""coordinates"": [-123.0998335567336, 49.28326981233583], ""type"": ""Point""}";49.28326981233583, -123.0998335567336
140;;SmallAPT;Richards St and Davie St, Emery Barnes Park;Downtown;24hrs - 24hrs;24hrs - 24hrs;No;;"{""coordinates"": [-123.12409855430495, 49.27604879059326], ""type"": ""Point""}";49.27604879059326, -123.12409855430495
141;;ComfortStation;Main St and E Hastings St;Downtown;8am (female) 6am (male) - Midnight;8am (female) 6am (male) - Midnight;No;;"{""coordinates"": [-123.09983455686559, 49.281101387413884], ""type"": ""Point""}";49.281101387413884, -123.09983455686559
142;;SmallAPT;W Hastings St and Carral St - Pigeon Park;Downtown;9am - 9pm;9am - 9pm;No;;"{""coordinates"": [-123.104586555944, 49.28163278844592], ""type"": ""Point""}";49.28163278844592, -123.104586555944
143;;LargeAPT;Bute St, Nelson Park;West End;24hrs - 24hrs;24hrs - 24hrs;Yes;;"{""coordinates"": [-123.13066155087947, 49.283372391399475], ""type"": ""Point""}";49.283372391399475, -123.13066155087947
144;;LargeAPT;Bute at Davie;West End;24hrs - 24hrs;24hrs - 24hrs;Yes;;"{""coordinates"": [-123.13309096598627, 49.282049830178636], ""type"": ""Point""}";49.282049830178636, -123.13309096598627
145;;LargeAPT;Robson St and Granville St;Downtown;6am - 10pm;6am - 10pm;Yes;;"{""coordinates"": [-123.12006655436043, 49.28162689042433], ""type"": ""Point""}";49.28162689042433, -123.12006655436043
