;Park Name;Type;Location;Geo Local Area;Summer hours;Winter hours;Wheelchair access;Note;Geom;geo_point_2d
28;Spanish Banks Beach Park;Park - Field House;East, fieldhouse;West Point Grey;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.21492003723966, 49.27624397436726], ""type"": ""Point""}";49.27624397436726, -123.21492003723966
29;Queen Elizabeth Park;Park - Field House;Fieldhouse;Riley Park;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.11157705659876, 49.23893801685196], ""type"": ""Point""}";49.23893801685196, -123.11157705659876
30;Queen Elizabeth Park;Park - Public Washroom;Lookout;Riley Park;7:30 am - 9:00 pm;7:30 am - 9:00 pm;No;;"{""coordinates"": [-123.1129392155845, 49.24221158928846], ""type"": ""Point""}";49.24221158928846, -123.1129392155845
31;Rupert Park;Park - Public Washroom;Pitch & Putt (north side);Hastings-Sunrise;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.03068295983304, 49.27305000035256], ""type"": ""Point""}";49.27305000035256, -123.03068295983304
32;VanDusen Botanical Garden;Park - Other Facilities;Floral hall;Shaughnessy;;;No;;"{""coordinates"": [-123.12955764644596, 49.2386594319526], ""type"": ""Point""}";49.2386594319526, -123.12955764644596
33;Stanley Park;Park - Field House;Prospect Point Picnic, fieldhouse;;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.14838804055677, 49.31055002745758], ""type"": ""Point""}";49.31055002745758, -123.14838804055677
34;Stanley Park;Park - Field House;2nd Beach, fieldhouse;;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.15058105411318, 49.295531100617225], ""type"": ""Point""}";49.295531100617225, -123.15058105411318
35;Stanley Park;Park - Field House;3rd Beach, fieldhouse;;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.15593104827661, 49.303152991485184], ""type"": ""Point""}";49.303152991485184, -123.15593104827661
36;Stanley Park;Park - Public Washroom;Brockton Oval;;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.1260230030714, 49.29962596371685], ""type"": ""Point""}";49.29962596371685, -123.1260230030714
37;Stanley Park;Park - Public Washroom;Pavilion;;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.13405101599092, 49.29954903031622], ""type"": ""Point""}";49.29954903031622, -123.13405101599092
38;Kingcrest Park;Park - Public Washroom;Playground;Kensington-Cedar Cottage;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.07460205675565, 49.24731189166449], ""type"": ""Point""}";49.24731189166449, -123.07460205675565
39;s??q?lxen?m ts'exwts'a?xwi7 (Rainbow);Park - Public Washroom;872 Richards St;Downtown;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.11893195123973, 49.278985860864495], ""type"": ""Point""}";49.278985860864495, -123.11893195123973
40;China Creek North Park;Park - Public Washroom;south-east corner;Mount Pleasant;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.08153102730606, 49.264494245003455], ""type"": ""Point""}";49.264494245003455, -123.08153102730606
41;Mccleery Golf Course;Park - Public Washroom;Unsure of exact location;Kerrisdale;;;;;"{""coordinates"": [-123.16787418477047, 49.2210231720367], ""type"": ""Point""}";49.2210231720367, -123.16787418477047
42;;ComfortStation;Victory Square;Downtown;6:00am - Midnight;6:00am - Midnight;No;;"{""coordinates"": [-123.11011655435036, 49.28258498871338], ""type"": ""Point""}";49.28258498871338, -123.11011655435036
43;;LargeAPT;Main St and Terminal Ave;Strathcona;6am - 10pm;6am - 10pm;Yes;;"{""coordinates"": [-123.09976255831502, 49.27313308782912], ""type"": ""Point""}";49.27313308782912, -123.09976255831502
44;;SmallAPT;Robson St and Richards St;Downtown;24hrs - 24hrs;24hrs - 24hrs;No;;"{""coordinates"": [-123.11803855424998, 49.28031868986809], ""type"": ""Point""}";49.28031868986809, -123.11803855424998
45;Garden Park;Park - Field House;North east corner, fieldhouse;Grandview-Woodland;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.05833399382524, 49.26828599758696], ""type"": ""Point""}";49.26828599758696, -123.05833399382524
46;Gordon Park;Park - Field House;East side;Victoria-Fraserview;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.0694999779781, 49.223870044041504], ""type"": ""Point""}";49.223870044041504, -123.0694999779781
47;Grandview Park;Park - Public Washroom;North East Corner;Grandview-Woodland;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.06995444645655, 49.27376163002874], ""type"": ""Point""}";49.27376163002874, -123.06995444645655
48;Hadden Park;Park - Field House;West, caretaker house (actually in Kits);Kitsilano;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.15030998197221, 49.27746099219153], ""type"": ""Point""}";49.27746099219153, -123.15030998197221
49;MacLean Park;Park - Field House;North west corner, fieldhouse;Strathcona;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.08936604005854, 49.27900702156872], ""type"": ""Point""}";49.27900702156872, -123.08936604005854
50;Maple Grove Park;Park - Field House;Central, field house;Kerrisdale;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.15958297476698, 49.223384020699434], ""type"": ""Point""}";49.223384020699434, -123.15958297476698
51;Prince Edward Park;Park - Field House;Sout east corner, fieldhouse;Riley Park;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.09705699407517, 49.25119097086864], ""type"": ""Point""}";49.25119097086864, -123.09705699407517
52;Ross Park;Park - Field House;South west corner, fieldhouse;Sunset;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.08279803559799, 49.21669998012449], ""type"": ""Point""}";49.21669998012449, -123.08279803559799
53;Slocan Park;Park - Field House;North side;Renfrew-Collingwood;Dawn to Dusk;Dawn to Dusk;Yes;;"{""coordinates"": [-123.04795201778296, 49.24443797709919], ""type"": ""Point""}";49.24443797709919, -123.04795201778296
54;Tatlow Park;Park - Field House;South, field house;Kitsilano;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.1695119500403, 49.26947601104013], ""type"": ""Point""}";49.26947601104013, -123.1695119500403
55;West Point Grey Park;Park - Field House;Centre;West Point Grey;Dawn to Dusk;Dawn to Dusk;No;;"{""coordinates"": [-123.20457956432331, 49.26654154245594], ""type"": ""Point""}";49.26654154245594, -123.20457956432331
56;Champlain Heights;Community Center;3350 Maquinna Drive;Killarney;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.03206634777003, 49.214448061453886], ""type"": ""Point""}";49.214448061453886, -123.03206634777003
57;Creekside;Community Center;1 Athletes Way;Mount Pleasant;as per CC operating hours;as per CC operating hours;;Maintained by Rec Center;"{""coordinates"": [-123.10558600026903, 49.27178699895438], ""type"": ""Point""}";49.27178699895438, -123.10558600026903
